skew	whisker_min	box_min	median	box_high	whisker_high
0.5	27606.5	27606.5	27606.5	27606.5	27606.5
0.6	20619.399999999998	20619.399999999998	20619.399999999998	20619.399999999998	20619.399999999998
0.7	10630.8	10630.8	10630.8	10630.8	10630.8
0.8	6228.4	6228.4	6228.4	6228.4	6228.4
0.9	3138.2	3138.2	3138.2	3138.2	3138.2
0.99	1422.0	1422.0	1422.0	1422.0	1422.0
1.1	1074.6	1074.6	1074.6	1074.6	1074.6
1.2	651.8	651.8	651.8	651.8	651.8
1.3	608.3	608.3	608.3	608.3	608.3
1.4	519.0	519.0	519.0	519.0	519.0
1.5	613.1	613.1	613.1	613.1	613.1
