skew	whisker_min	box_min	median	box_high	whisker_high
0.5	23296.9	23296.9	23296.9	23296.9	23296.9
0.6	22334.8	22334.8	22334.8	22334.8	22334.8
0.7	21009.600000000002	21009.600000000002	21009.600000000002	21009.600000000002	21009.600000000002
0.8	14697.199999999997	14697.199999999997	14697.199999999997	14697.199999999997	14697.199999999997
0.9	7240.2	7240.2	7240.2	7240.2	7240.2
0.99	3567.2	3567.2	3567.2	3567.2	3567.2
1.1	1172.3	1172.3	1172.3	1172.3	1172.3
1.2	875.6	875.6	875.6	875.6	875.6
1.3	892.7	892.7	892.7	892.7	892.7
1.4	615.2	615.2	615.2	615.2	615.2
1.5	626.3	626.3	626.3	626.3	626.3
