concurrency	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
16	0.0	0.0	996304.0	16604.9	2.6666666666666665	2.566666666666667	4.033333333333333	7.5	25.53333333333333	0.0	0.0	0.0	53031.0	883.9000000000001	3.2999999999999994	3.1	4.8999999999999995	9.799999999999999	34.96666666666667	0.0	0.0	0.0	1049335.0	17488.8	2.733333333333333	2.566666666666667	4.166666666666667	7.599999999999999	34.96666666666667
16	0.0	0.0	999847.0	16663.800000000003	2.6666666666666665	2.5666666666666664	4.1	7.599999999999999	30.066666666666666	0.0	0.0	0.0	52382.0	873.1	3.2999999999999994	3.1	5.0	9.799999999999999	26.899999999999995	0.0	0.0	0.0	1052229.0	17536.8	2.7000000000000006	2.5666666666666664	4.133333333333334	7.599999999999999	30.766666666666666
20	0.0	0.0	1039582.0	17326.1	3.2000000000000006	3.1	4.7	8.9	26.933333333333334	0.0	0.0	0.0	54770.0	912.8	3.7999999999999994	3.6333333333333333	5.5	11.5	26.599999999999998	0.0	0.0	0.0	1094352.0	18238.9	3.266666666666667	3.1	4.8999999999999995	8.9	27.3
24	0.0	0.0	1053541.0	17558.7	3.7999999999999994	3.7000000000000006	5.5	10.5	43.300000000000004	0.0	0.0	0.0	55501.0	925.1	4.4	4.166666666666667	6.3	13.266666666666666	37.733333333333334	0.0	0.0	0.0	1109042.0	18483.8	3.8666666666666667	3.7000000000000006	5.5	10.5	43.300000000000004
24	0.0	0.0	1050532.0	17508.3	3.8333333333333335	3.7000000000000006	5.5	10.5	35.666666666666664	0.0	0.0	0.0	55259.0	920.9000000000001	4.366666666666667	4.2	6.3	13.466666666666667	34.300000000000004	0.0	0.0	0.0	1105791.0	18429.4	3.8333333333333335	3.733333333333333	5.6000000000000005	10.5	36.36666666666667
24	0.0	0.0	1052965.0	17549.2	3.8333333333333335	3.7000000000000006	5.5	10.5	39.13333333333333	0.0	0.0	0.0	55425.0	923.6999999999999	4.366666666666666	4.166666666666667	6.3	13.1	31.433333333333334	0.0	0.0	0.0	1108390.0	18472.9	3.8666666666666667	3.7000000000000006	5.6000000000000005	10.5	39.13333333333333
26	0.0	0.0	1069899.0	17831.5	4.066666666666666	3.8333333333333335	6.3	11.166666666666666	65.7	0.0	0.0	0.0	55968.0	932.8000000000001	5.133333333333333	4.7	10.0	16.633333333333336	71.3	0.0	0.0	0.0	1125867.0	18764.3	4.1	3.9	6.3	11.5	72.7
26	0.0	0.0	1054605.0	17576.5	4.1	3.9	6.0	11.0	37.733333333333334	0.0	0.0	0.0	55316.0	921.8	4.7	4.5	6.599999999999999	14.199999999999998	40.5	0.0	0.0	0.0	1109921.0	18498.4	4.2	4.1	6.0	11.0	40.5
27	0.0	0.0	1059020.0	17650.199999999997	4.3	4.1	6.0	11.5	37.733333333333334	0.0	0.0	0.0	55730.0	928.8	4.8	4.7	6.733333333333333	14.866666666666665	32.53333333333333	0.0	0.0	0.0	1114750.0	18578.9	4.3	4.2	6.3	11.700000000000001	37.733333333333334
28	0.0	0.0	1227835.0	20463.7	3.7000000000000006	3.2999999999999994	7.3	12.1	97.89999999999999	0.0	0.0	0.0	63815.0	1063.5	7.099999999999999	6.3	14.199999999999998	19.9	78.3	0.0	0.0	0.0	1291650.0	21527.300000000003	3.9	3.3333333333333335	8.1	13.1	97.89999999999999
