concurrency	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
16	0.0	0.0	672605.0	14946.6	2.8333333333333335	2.533333333333333	5.5	8.299999999999999	23.433333333333337	0.0	0.0	0.0	35349.0	785.5999999999999	6.233333333333333	5.8	11.333333333333334	15.199999999999998	30.766666666666666	0.0	0.0	0.0	707954.0	15732.099999999999	3.0	2.6	6.3	9.4	30.766666666666666
16	0.0	0.0	670003.0	14888.499999999998	2.8666666666666667	2.6	5.5	8.1	24.46666666666667	0.0	0.0	0.0	35323.0	785.0	6.2	5.8	11.5	15.366666666666665	30.433333333333337	0.0	0.0	0.0	705326.0	15673.5	3.033333333333333	2.6	6.3	9.4	32.199999999999996
20	0.0	0.0	686249.0	15249.7	3.466666666666667	2.966666666666667	7.5	11.5	37.733333333333334	0.0	0.0	0.0	36080.0	801.6999999999999	8.533333333333333	7.599999999999999	16.8	23.100000000000005	46.1	0.0	0.0	0.0	722329.0	16051.5	3.6666666666666665	3.0	8.733333333333334	13.6	46.1
24	0.0	0.0	692745.0	15394.1	4.1	3.4	9.4	14.533333333333331	40.5	0.0	0.0	0.0	36767.0	816.9999999999999	10.433333333333334	9.066666666666668	22.0	31.133333333333336	62.9	0.0	0.0	0.0	729512.0	16211.1	4.4	3.5	10.5	17.8	62.9
24	0.0	0.0	692006.0	15377.5	4.1	3.4333333333333336	9.4	14.533333333333331	51.0	0.0	0.0	0.0	36408.0	809.0	10.3	8.9	21.333333333333332	29.03333333333333	53.800000000000004	0.0	0.0	0.0	728414.0	16186.5	4.4	3.466666666666667	10.5	17.46666666666667	53.800000000000004
24	0.0	0.0	693453.0	15409.500000000002	4.1000000000000005	3.466666666666667	9.4	14.533333333333331	53.800000000000004	0.0	0.0	0.0	36190.0	804.2	10.166666666666666	9.066666666666668	21.0	29.03333333333333	50.300000000000004	0.0	0.0	0.0	729643.0	16213.8	4.3999999999999995	3.466666666666667	10.5	16.8	53.800000000000004
26	0.0	0.0	689305.0	15317.5	4.433333333333334	3.733333333333333	10.333333333333334	15.9	50.300000000000004	0.0	0.0	0.0	36470.0	810.4000000000001	11.199999999999998	9.799999999999999	23.76666666666667	33.6	61.5	0.0	0.0	0.0	725775.0	16127.900000000001	4.8	3.7999999999999994	11.5	18.9	61.5
26	0.0	0.0	688785.0	15305.8	4.466666666666667	3.766666666666667	10.5	16.3	49.6	0.0	0.0	0.0	36519.0	811.5	11.433333333333332	10.0	24.100000000000005	35.0	60.1	0.0	0.0	0.0	725304.0	16117.4	4.766666666666667	3.766666666666667	11.9	19.9	60.1
27	0.0	0.0	689701.0	15326.099999999999	4.633333333333334	3.8333333333333335	10.5	16.8	52.4	0.0	0.0	0.0	36179.0	804.0	11.800000000000002	10.166666666666666	25.866666666666664	37.03333333333334	63.599999999999994	0.0	0.0	0.0	725880.0	16130.1	5.0	3.9	12.1	19.9	63.599999999999994
28	0.0	0.0	693898.0	15419.6	4.766666666666667	3.966666666666667	11.0	17.8	57.29999999999999	0.0	0.0	0.0	36415.0	809.2	12.066666666666668	10.5	25.866666666666664	37.7	65.7	0.0	0.0	0.0	730313.0	16228.800000000001	5.133333333333334	4.1	12.6	21.0	68.5
28	0.0	0.0	687312.0	15272.900000000001	4.8	4.1	11.0	17.8	56.6	0.0	0.0	0.0	36258.0	805.7	12.433333333333332	10.5	27.3	39.8	64.3	0.0	0.0	0.0	723570.0	16078.7	5.2	4.1	12.6	21.333333333333332	64.3
28	0.0	0.0	691429.0	15364.800000000001	4.8	4.033333333333333	11.0	17.8	57.300000000000004	0.0	0.0	0.0	36560.0	812.4	11.966666666666667	10.5	25.2	35.7	64.3	0.0	0.0	0.0	727989.0	16177.2	5.133333333333334	4.1	12.6	21.0	64.3
29	0.0	0.0	689031.0	15311.500000000002	4.966666666666667	4.166666666666667	11.5	18.9	67.10000000000001	0.0	0.0	0.0	36189.0	804.1999999999999	13.133333333333333	11.0	30.066666666666663	46.1	76.89999999999999	0.0	0.0	0.0	725220.0	16115.7	5.366666666666667	4.2	13.1	23.100000000000005	76.89999999999999
30	0.0	0.0	690178.0	15337.1	5.1	4.5	11.700000000000001	19.9	79.7	0.0	0.0	0.0	36079.0	801.8000000000001	13.033333333333333	11.0	28.3	45.4	82.50000000000001	0.0	0.0	0.0	726257.0	16138.900000000001	5.5	4.5	13.6	23.100000000000005	89.5
32	0.0	0.0	691526.0	15366.800000000001	5.433333333333334	4.7	12.6	21.0	96.5	0.0	0.0	0.0	36497.0	811.0	14.266666666666666	11.5	32.86666666666667	51.0	90.89999999999999	0.0	0.0	0.0	728023.0	16177.900000000001	5.900000000000001	4.7	14.533333333333331	24.833333333333332	97.90000000000002
40	0.0	0.0	684239.0	15204.8	6.900000000000001	5.933333333333334	15.366666666666665	26.2	107.7	0.0	0.0	0.0	36086.0	801.9	17.133333333333333	13.6	39.8	69.89999999999999	123.0	0.0	0.0	0.0	720325.0	16006.6	7.400000000000001	6.0	17.8	30.399999999999995	123.0
48	0.0	0.0	680096.0	15112.699999999999	8.4	7.3	17.8	29.399999999999995	187.33333333333334	0.0	0.0	0.0	35834.0	796.3000000000001	20.566666666666666	15.699999999999998	53.800000000000004	96.5	187.36666666666665	0.0	0.0	0.0	715930.0	15909.0	9.0	7.3	19.9	35.7	218.1
56	0.0	0.0	672315.0	14939.6	9.9	8.9	20.266666666666666	34.300000000000004	176.19999999999996	0.0	0.0	0.0	35441.0	787.5000000000001	23.066666666666663	17.133333333333336	61.5	114.60000000000001	176.16666666666666	0.0	0.0	0.0	707756.0	15727.1	10.6	8.9	23.100000000000005	41.199999999999996	181.76666666666665
