concurrency	elapsed-r	errors-r	ops(total)-r	ops/sec(cum)-r	avg(ms)-r	p50(ms)-r	p95(ms)-r	p99(ms)-r	pMax(ms)-r	total-r	elapsed-w	errors-w	ops(total)-w	ops/sec(cum)-w	avg(ms)-w	p50(ms)-w	p95(ms)-w	p99(ms)-w	pMax(ms)-w	total-w	elapsed	errors	ops(total)	ops/sec(cum)	avg(ms)	p50(ms)	p95(ms)	p99(ms)	pMax(ms)
16	0.0	0.0	876039.0	19467.100000000002	4.366666666666667	3.3333333333333335	10.916666666666666	16.2	44.699999999999996	0.0	0.0	0.0	46067.0	1023.7	9.883333333333335	9.316666666666666	19.733333333333334	26.400000000000002	50.65	0.0	0.0	0.0	922106.0	20490.699999999997	4.633333333333334	3.4333333333333336	12.0	17.8	51.0
24	0.0	0.0	940771.0	20905.399999999998	5.983333333333333	4.116666666666666	16.2	25.016666666666666	125.10000000000001	0.0	0.0	0.0	49568.0	1101.4	15.949999999999998	13.699999999999998	35.699999999999996	51.0	100.66666666666667	0.0	0.0	0.0	990339.0	22006.899999999998	6.483333333333333	4.3999999999999995	18.53333333333333	28.850000000000005	125.80000000000001
24	0.0	0.0	949645.0	21102.699999999997	5.933333333333334	4.116666666666666	16.2	25.016666666666666	84.25	0.0	0.0	0.0	49995.0	1111.0	15.066666666666665	13.1	32.516666666666666	45.75	79.69999999999999	0.0	0.0	0.0	999640.0	22213.699999999997	6.416666666666667	4.383333333333334	17.8	27.96666666666667	87.39999999999999
28	0.0	0.0	945213.0	21004.399999999998	6.949999999999999	4.3999999999999995	20.816666666666666	32.15	99.96666666666665	0.0	0.0	0.0	49857.0	1107.8	17.133333333333333	14.616666666666667	39.800000000000004	55.199999999999996	106.28333333333332	0.0	0.0	0.0	995070.0	22112.2	7.483333333333333	4.6000000000000005	22.566666666666666	35.35	110.44999999999999
28	0.0	0.0	953715.0	21193.2	6.866666666666666	4.6000000000000005	19.733333333333334	30.233333333333334	97.86666666666666	0.0	0.0	0.0	50071.0	1112.7	18.333333333333332	15.816666666666665	41.550000000000004	58.699999999999996	108.35000000000001	0.0	0.0	0.0	1003786.0	22305.9	7.433333333333334	4.916666666666667	21.833333333333332	35.00000000000001	108.35000000000001
30	0.0	0.0	952654.0	21169.4	7.183333333333334	4.916666666666667	20.816666666666666	31.833333333333332	150.29999999999998	0.0	0.0	0.0	50447.0	1121.0	22.566666666666666	19.066666666666666	54.5	75.5	128.61666666666667	0.0	0.0	0.0	1003101.0	22290.300000000003	7.983333333333333	5.116666666666666	23.433333333333334	39.800000000000004	150.29999999999998
30	0.0	0.0	957168.0	21269.899999999998	7.3	4.916666666666667	20.816666666666666	32.333333333333336	139.1	0.0	0.0	0.0	49801.0	1106.6	20.78333333333333	17.8	48.550000000000004	68.50000000000001	137.70000000000002	0.0	0.0	0.0	1006969.0	22376.5	7.966666666666668	5.116666666666666	22.916666666666668	37.699999999999996	142.6
31	0.0	0.0	950927.0	21131.3	7.683333333333334	4.616666666666666	23.25	37.03333333333333	113.26666666666665	0.0	0.0	0.0	49967.0	1110.3	19.316666666666666	16.716666666666665	43.300000000000004	62.9	119.55000000000001	0.0	0.0	0.0	1000894.0	22241.5	8.233333333333334	4.916666666666667	25.016666666666666	39.449999999999996	130.03333333333333
32	0.0	0.0	950268.0	21116.4	7.750000000000001	5.016666666666667	22.916666666666668	35.35	144.01666666666665	0.0	0.0	0.0	49799.0	1106.5000000000002	23.45	19.566666666666666	57.650000000000006	79.0	141.9	0.0	0.0	0.0	1000067.0	22222.9	8.533333333333333	5.266666666666667	25.866666666666664	42.25000000000001	153.80000000000004
32	0.0	0.0	957057.0	21267.4	7.833333333333333	4.95	23.083333333333332	36.016666666666666	125.11666666666666	0.0	0.0	0.0	50339.0	1118.5	20.683333333333334	17.8	48.199999999999996	72.0	121.61666666666667	0.0	0.0	0.0	1007396.0	22385.9	8.466666666666667	5.166666666666666	25.016666666666666	39.79999999999999	132.1
32	0.0	0.0	951391.0	21141.3	7.816666666666667	5.016666666666667	22.916666666666668	36.36666666666667	130.7	0.0	0.0	0.0	50352.0	1119.0	21.666666666666668	18.716666666666665	49.949999999999996	71.30000000000001	128.63333333333335	0.0	0.0	0.0	1001743.0	22260.199999999997	8.5	5.216666666666666	25.683333333333334	41.550000000000004	139.1
32	0.0	0.0	931527.0	20700.0	8.0	5.416666666666667	22.016666666666666	33.416666666666664	148.20000000000002	0.0	0.0	0.0	48869.0	1085.9	22.0	19.233333333333334	50.300000000000004	71.3	134.91666666666666	0.0	0.0	0.0	980396.0	21786.0	8.683333333333335	5.800000000000001	25.016666666666666	39.800000000000004	159.36666666666667
33	0.0	0.0	953501.0	21188.300000000003	7.883333333333333	5.166666666666666	22.916666666666668	35.35	173.36666666666667	0.0	0.0	0.0	50025.0	1111.6	26.0	21.333333333333332	63.25	89.5	148.20000000000002	0.0	0.0	0.0	1003526.0	22299.8	8.783333333333333	5.466666666666666	26.03333333333333	44.699999999999996	176.16666666666666
34	0.0	0.0	950802.0	21128.2	8.316666666666666	5.116666666666666	25.349999999999998	39.449999999999996	150.3	0.0	0.0	0.0	50041.0	1111.9	22.483333333333334	18.900000000000002	54.5	77.6	139.8	0.0	0.0	0.0	1000843.0	22240.3	9.033333333333333	5.416666666666667	27.95	45.4	153.8
36	0.0	0.0	944916.0	20997.5	8.516666666666666	5.416666666666667	25.849999999999998	40.15	202.71666666666667	0.0	0.0	0.0	49553.0	1101.2	31.21666666666667	24.283333333333335	82.50000000000001	107.68333333333334	188.75	0.0	0.0	0.0	994469.0	22098.6	9.633333333333333	5.7	29.71666666666667	54.15	212.49999999999997
40	0.0	0.0	945696.0	21014.800000000003	9.299999999999999	5.7	29.05	45.75	212.5	0.0	0.0	0.0	49563.0	1101.4	37.7	29.033333333333335	98.59999999999998	124.39999999999999	250.23333333333332	0.0	0.0	0.0	995259.0	22116.199999999997	10.683333333333332	5.916666666666667	35.166666666666664	66.39999999999999	250.23333333333332
48	0.0	0.0	930256.0	20671.600000000002	11.200000000000001	7.716666666666666	31.316666666666666	49.949999999999996	313.18333333333334	0.0	0.0	0.0	48957.0	1087.9	48.56666666666667	36.36666666666667	129.29999999999998	159.4	320.16666666666663	0.0	0.0	0.0	979213.0	21759.5	13.066666666666668	8.166666666666666	37.699999999999996	86.7	335.55
